
STEWART PLATFORM

COMPILATION DATE AND TIME
May  7 2022
13:09:39
HEXAPOD_CONFIG = 1
ALGORITHM = 3

      X      Y      Z      A      B      C  movOK          ANGLE 1          ANGLE 2          ANGLE 3          ANGLE 4          ANGLE 5          ANGLE 6
=======================================================================================================================================================
    0.0    0.0    0.0    0.0    0.0    0.0      0              467              325              467              325              467              325
    0.0    0.0   12.0    0.0    0.0    0.0      0              467              402              467              402              467              402
    0.0    0.0  -12.0    0.0    0.0    0.0      0              467              230              467              230              467              230
=======================================================================================================================================================
   -8.0   -8.0   -4.0   -4.0   -4.0  -14.3      0              467              388              467              324              467              285
   -8.0   -8.0   -4.0   -4.0   -4.0   14.3      0              467              327              467              271              467              237
   -8.0   -8.0   -4.0   -4.0    4.0  -14.3      0              467              348              467              354              467              293
   -8.0   -8.0   -4.0   -4.0    4.0   14.3      0              467              285              467              307              467              249
   -8.0   -8.0   -4.0    4.0   -4.0  -14.3      0              467              374              467              293              467              327
   -8.0   -8.0   -4.0    4.0   -4.0   14.3      0              467              313              467              220              467              289
   -8.0   -8.0   -4.0    4.0    4.0  -14.3      0              467              335              467              328              467              336
   -8.0   -8.0   -4.0    4.0    4.0   14.3      0              467              269              467              276              467              299
   -8.0   -8.0    4.0   -4.0   -4.0  -14.3      0              467              183              467              371              467              335
   -8.0   -8.0    4.0   -4.0   -4.0   14.3      0              467              376              467              325              467              297
   -8.0   -8.0    4.0   -4.0    4.0  -14.3      0              467              398              467              404              467              342
   -8.0   -8.0    4.0   -4.0    4.0   14.3      0              467              335              467              356              467              306
   -8.0   -8.0    4.0    4.0   -4.0  -14.3      0              467              436              467              343              467              376
   -8.0   -8.0    4.0    4.0   -4.0   14.3      0              467              362              467              295              467              338
   -8.0   -8.0    4.0    4.0    4.0  -14.3      0              467              383              467              375              467              387
   -8.0   -8.0    4.0    4.0    4.0   14.3      0              467              322              467              328              467              347
   -8.0    8.0   -4.0   -4.0   -4.0  -14.3      0              467              351              467              360              467              284
   -8.0    8.0   -4.0   -4.0   -4.0   14.3      0              467              308              467              296              467              221
   -8.0    8.0   -4.0   -4.0    4.0  -14.3      0              467              311              467              391              467              293
   -8.0    8.0   -4.0   -4.0    4.0   14.3      0              467              264              467              329              467              239
   -8.0    8.0   -4.0    4.0   -4.0  -14.3      0              467              337              467              332              467              328
   -8.0    8.0   -4.0    4.0   -4.0   14.3      0              467              294              467              262              467              285
   -8.0    8.0   -4.0    4.0    4.0  -14.3      0              467              297              467              363              467              337
   -8.0    8.0   -4.0    4.0    4.0   14.3      0              467              246              467              300              467              295
   -8.0    8.0    4.0   -4.0   -4.0  -14.3      0              467              405              467              411              467              336
   -8.0    8.0    4.0   -4.0   -4.0   14.3      0              467              357              467              346              467              294
   -8.0    8.0    4.0   -4.0    4.0  -14.3      0              467              359              467              183              467              343
   -8.0    8.0    4.0   -4.0    4.0   14.3      0              467              317              467              378              467              303
   -8.0    8.0    4.0    4.0   -4.0  -14.3      0              467              388              467              379              467              375
   -8.0    8.0    4.0    4.0   -4.0   14.3      0              467              343              467              318              467              336
   -8.0    8.0    4.0    4.0    4.0  -14.3      0              467              346              467              416              467              385
   -8.0    8.0    4.0    4.0    4.0   14.3      0              467              303              467              349              467              344
    8.0   -8.0   -4.0   -4.0   -4.0  -14.3      0              467              366              467              302              467              330
    8.0   -8.0   -4.0   -4.0   -4.0   14.3      0              467              313              467              262              467              268
    8.0   -8.0   -4.0   -4.0    4.0  -14.3      0              467              328              467              333              467              337
    8.0   -8.0   -4.0   -4.0    4.0   14.3      0              467              266              467              298              467              277
    8.0   -8.0   -4.0    4.0   -4.0  -14.3      0              467              353              467              268              467              369
